타임스탬프,성별,대학교,전공,학년,통학시간,공강유무,평균공강시간,뭐하는지,어디가는지,얼마나가는지,누구와가는지,충분한지,뭘하고싶은지
8-31-2024 18:04:57,F,원광대,문예창작학과,2,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 식사","카페, 동아리방",3~5회,친구,충분하지 않다.,잠
8-31-2024 18:17:16,M,중앙대,공공인재학부(정책학),4,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 대화","동아리방, 라운지",5회 이상,친구,충분하지 않다.,잠
8-31-2024 18:20:27,M,홍익대,기계시스템디자인공학과,4,30분 이상 - 1시간 미만,O,1~3시간,"과제/공부, 여가활동: 밴드부, 게임 등",동아리방,3~5회,친구,충분하지 않다.,수다
8-31-2024 18:25:11,M,홍익대,산업디자인,4,10분 이상 - 30분 미만,O,1시간 미만,"과제/공부, 대화","동아리방, 도서관",3~5회,혼자,충분하다.,수다
8-31-2024 18:28:01,M,명지대,경영,3,1시간 이상 - 2시간 미만,O,1~3시간,잠,"카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 18:38:17,F,한국교원대,지구과학교육과,1,2시간 이상,X,0,0,0,0,0,충분하지 않다.,과제
8-31-2024 18:47:16,M,홍익대,기계시스템디자인공학과,1,1시간 이상 - 2시간 미만,X,0,0,0,0,0,충분하지 않다.,잠
8-31-2024 18:52:03,M,충북대,소프트웨어학과,4,10분 미만,O,1~3시간,"대화, 식사","동아리방, 과방/과실",3~5회,친구,충분하다.,잠
8-31-2024 18:53:34,F,한성대,국어국문학,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","카페, 라운지",1~2회,친구,충분하지 않다.,잠
8-31-2024 18:57:04,M,홍익대,기계,졸업,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사","도서관, 라운지",1~2회,혼자,충분하지 않다.,수다
8-31-2024 19:09:43,M,홍익대,전자전기,졸업,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 대화","카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 19:13:31,F,홍익대,기계시스템디자인공학과,2,10분 이상 - 30분 미만,O,5시간 이상,"과제/공부, 대화","카페, 도서관",3~5회,친구,충분하다.,잠
